descripcion,valor_usd,valor_pen,categoria,subcategoria,idioma,es_sintetico
Compra en Udemy: materiales educativos,190.13,703.46,Educación,Materiales educativos,es,True
Pago de combustible en Uber,112.29,415.46,Transporte,Combustible,es,True
conta de gás / empresa eléctrica,163.46,604.8,Servicios,Gas domiciliario,pt,True
cuidados com a pele / Natura,462.56,1711.5,Cuidado personal,Cuidado de la piel,pt,True
Rent,5320.17,19684.63,Vivienda,Alquiler,en,False
florería local - joyería,273.3,1011.24,Regalos,Joyería,es,True
Compra en gimnasio local: medicamentos,408.05,1509.82,Salud y bienestar,Farmacia,es,True
farmacia local - membresía de gimnasio,101.8,376.64,Salud y bienestar,Gimnasio,es,True
Pago de medicamentos en gimnasio local,382.86,1416.59,Salud y bienestar,Farmacia,es,True
cine local - materiales de arte,53.18,196.76,Entretenimiento,Lectura y pasatiempos,es,True
Pago de recibo de electricidad en proveedor de internet,84.16,311.38,Servicios,Electricidad,es,True
calzado / comercio local,123.24,455.98,Compras,Calzado,es,True
Compra en Spotify: materiales para tejido,75.74,280.22,Entretenimiento,Lectura y pasatiempos,es,True
taxi o aplicativo / Cabify,56.7,209.75,Transporte,Taxi y aplicativo,es,True
cine local - entradas para concierto,270.97,1002.6,Entretenimiento,Eventos,es,True
Pago de tarjeta de regalo en Miniso,219.78,813.18,Regalos,Tarjeta de regalo,es,True
Pago de calzado en tienda departamental,181.13,670.17,Compras,Calzado,es,True
Pago de pasta dental en Natura - Mercado Pago,93.87,347.3,Cuidado personal,Higiene,es,True
Compra en Rappi: frutas - Yape,34.39,127.24,Alimentación,Supermercado,es,True
equipo para ejercicio / centro médico,136.88,506.48,Salud y bienestar,Equipamiento deportivo,es,True
Pago de leche en PedidosYa - Mercado Pago,20.03,74.08,Alimentación,Supermercado,es,True
Pago de taxi o aplicativo en estación de servicio,68.2,252.32,Transporte,Taxi y aplicativo,es,True
Compra en servicio del hogar: alquiler de vivienda,148.48,549.44,Vivienda,Alquiler,es,True
gimnasio local - consulta dental,239.43,885.91,Salud y bienestar,Odontología,es,True
Pago de entradas de cine en Spotify,15.98,59.09,Entretenimiento,Cine,es,True
Spotify - materiais de crochê,57.21,211.65,Entretenimiento,Lectura y pasatiempos,pt,True
Pago de boleto aéreo en LATAM - Mercado Pago,382.23,1414.28,Viajes,Vuelo,es,True
taxi o aplicativo / estación de servicio,138.32,511.76,Transporte,Taxi y aplicativo,es,True
Compra en florería local: juegos infantiles,194.68,720.3,Regalos,Juguetes,es,True
servicio del hogar - alquiler de vivienda,888.37,3287.06,Vivienda,Alquiler,es,True
Compra en Éxito: carne,15.86,58.67,Alimentación,Supermercado,es,True
Pago de videojuegos en Spotify,89.83,332.37,Entretenimiento,Videojuegos,es,True
Pago de boleto aéreo en hotel local - billetera móvil,139.25,515.2,Viajes,Vuelo,es,True
Compra en LATAM: boleto aéreo,143.84,532.21,Viajes,Vuelo,es,True
LATAM - actividad turística,71.56,264.76,Viajes,Turismo,es,True
empresa de servicios - recibo de gas,289.48,1071.09,Servicios,Gas domiciliario,es,True
Natura - pasta dental,34.77,128.63,Cuidado personal,Higiene,es,True
Pago de mantenimiento del hogar en administración residencial,57.63,213.22,Vivienda,Mantenimiento del hogar,es,True
Coursera - clases de idiomas,362.66,1341.85,Educación,Cursos,es,True
farmacia local - membresía de gimnasio,108.38,401.0,Salud y bienestar,Gimnasio,es,True
Pago de combustible en Uber,89.47,331.01,Transporte,Combustible,es,True
empresa de servicios - recibo de agua,139.6,516.51,Servicios,Agua,es,True
Pago de consulta dental en gimnasio local,238.52,882.53,Salud y bienestar,Odontología,es,True
Pago de juegos infantiles en tienda de regalos - Yape,286.2,1058.95,Regalos,Juguetes,es,True
Compra en Avon: champú - SPEI,27.88,103.15,Cuidado personal,Higiene,es,True
Compra en Miniso: juegos infantiles,177.53,656.87,Regalos,Juguetes,es,True
Miniso - joyería,492.64,1822.79,Regalos,Joyería,es,True
Compra en servicio del hogar: alquiler de vivienda,439.0,1624.33,Vivienda,Alquiler,es,True
Compra em tienda de regalos: brinquedos infantis,193.43,715.7,Regalos,Juguetes,pt,True
